text,label
I will find you,3
Nice work on this project,0
That comment makes no sense,1
This is pointless,1
I appreciate your feedback,0
I really like this idea,0
That comment makes no sense,1
I will find you,3
You are completely useless,2
Nice work on this project,0
Nice work on this project,0
I appreciate your feedback,0
I enjoyed reading this,0
This is a useful suggestion,0
That sounds like a good plan,0
I will make you regret this,3
People like you should disappear,3
This is pointless,1
I will hurt you,3
You are a worthless human being,3
I will find you,3
Thank you for your help,0
This is a useful suggestion,0
"Great explanation, very clear",0
I will destroy everything you care about,3
Nobody respects your opinion,2
You are a worthless human being,3
That sounds like a good plan,0
I will make you regret this,3
You are being annoying,1
I will find you,3
Stop acting weird,1
That was extremely stupid,2
I will make you regret this,3
You are being annoying,1
This is pathetic nonsense,2
I appreciate your feedback,0
That was incredibly dumb,2
I will ruin your life,3
You are being annoying,1
I appreciate your feedback,0
I will find you,3
You are not very smart,1
You are a worthless human being,3
This is a useful suggestion,0
I really like this idea,0
Nice work on this project,0
This is pathetic nonsense,2
You are embarrassingly ignorant,2
This information is helpful,0
I will destroy everything you care about,3
You always ruin everything,2
That was incredibly dumb,2
Nobody respects your opinion,2
I enjoyed reading this,0
That was unnecessary,1
You are a worthless human being,3
Well written and informative,0
That was a silly mistake,1
You deserve punishment,3
Nobody respects your opinion,2
You are a worthless human being,3
You are a total failure,2
I will hurt you,3
This is absolute garbage,2
That was extremely stupid,2
I really like this idea,0
"Great explanation, very clear",0
That was incredibly dumb,2
I will find you,3
You are not very smart,1
That sounds like a good plan,0
This is pathetic nonsense,2
I will find you,3
People like you should disappear,3
You are a total failure,2
You are completely useless,2
"Great explanation, very clear",0
You are completely useless,2
That was incredibly dumb,2
That comment makes no sense,1
Stop acting weird,1
Nobody respects your opinion,2
Well written and informative,0
This information is helpful,0
"Great explanation, very clear",0
This is pointless,1
Nobody respects your opinion,2
You should be banned forever,3
Stop acting weird,1
I will destroy everything you care about,3
I will make you regret this,3
I enjoyed reading this,0
I enjoyed reading this,0
I will hurt you,3
This is absolute garbage,2
That was extremely stupid,2
I enjoyed reading this,0
You are a total failure,2
You always ruin everything,2
That was a silly mistake,1
This is pointless,1
I enjoyed reading this,0
Please stop being rude,1
This is absolute garbage,2
I appreciate your feedback,0
That was incredibly dumb,2
This is a useful suggestion,0
You are a total failure,2
This is a useful suggestion,0
I will find you,3
Nice work on this project,0
I will make you regret this,3
You are completely useless,2
This is pointless,1
This is absolute garbage,2
That was unnecessary,1
That was extremely stupid,2
This is kind of stupid,1
You are a total failure,2
I will destroy everything you care about,3
This is pathetic nonsense,2
Well written and informative,0
You deserve to suffer,3
"Great explanation, very clear",0
Thank you for your help,0
Stop acting weird,1
I really like this idea,0
You deserve to suffer,3
I enjoyed reading this,0
This information is helpful,0
Nice work on this project,0
You sound confused,1
I appreciate your feedback,0
You are being annoying,1
This is kind of stupid,1
Nice work on this project,0
Nobody respects your opinion,2
Nice work on this project,0
This is kind of stupid,1
You are a worthless human being,3
This information is helpful,0
I enjoyed reading this,0
Nobody respects your opinion,2
That was extremely stupid,2
You are a worthless human being,3
You are being annoying,1
I will find you,3
I will ruin your life,3
This is absolute garbage,2
I will make you regret this,3
Thank you for your help,0
You are being annoying,1
"Great explanation, very clear",0
You always ruin everything,2
Thank you for your help,0
You are not very smart,1
You deserve to suffer,3
Stop acting weird,1
You always ruin everything,2
I will find you,3
You deserve punishment,3
This is pointless,1
I will make you regret this,3
That was extremely stupid,2
This is a useful suggestion,0
That was incredibly dumb,2
This is absolute garbage,2
You are not very smart,1
"Great explanation, very clear",0
Please stop being rude,1
That was incredibly dumb,2
Thank you for your help,0
You always ruin everything,2
I will destroy everything you care about,3
That was extremely stupid,2
You are a worthless human being,3
That sounds like a good plan,0
I really like this idea,0
Nice work on this project,0
Thank you for your help,0
That was extremely stupid,2
You are embarrassingly ignorant,2
This is absolute garbage,2
You are completely useless,2
That was unnecessary,1
You are completely useless,2
People like you should disappear,3
You are completely useless,2
That was extremely stupid,2
This is a useful suggestion,0
I will destroy everything you care about,3
I will ruin your life,3
People like you should disappear,3
You are a total failure,2
I appreciate your feedback,0
Please stop being rude,1
Stop acting weird,1
You are being annoying,1
This is kind of stupid,1
I will destroy everything you care about,3
That was extremely stupid,2
Nobody respects your opinion,2
You have no idea what you are doing,2
This is absolute garbage,2
You are not very smart,1
You deserve punishment,3
You are completely useless,2
This is a useful suggestion,0
This is a useful suggestion,0
You should be banned forever,3
You are completely useless,2
This is absolute garbage,2
I enjoyed reading this,0
I will destroy everything you care about,3
I will find you,3
I will make you regret this,3
You are a worthless human being,3
This is pointless,1
That was a silly mistake,1
You are not very smart,1
You sound confused,1
That was extremely stupid,2
That was extremely stupid,2
I will destroy everything you care about,3
Well written and informative,0
That sounds like a good plan,0
That comment makes no sense,1
You are not very smart,1
You should be banned forever,3
This is a useful suggestion,0
You are a worthless human being,3
You should be banned forever,3
I really like this idea,0
You deserve punishment,3
Thank you for your help,0
You are completely useless,2
This information is helpful,0
I really like this idea,0
Stop acting weird,1
"Great explanation, very clear",0
You always ruin everything,2
That was a silly mistake,1
This is absolute garbage,2
You always ruin everything,2
This is kind of stupid,1
That was incredibly dumb,2
You are a worthless human being,3
You are being annoying,1
I really like this idea,0
That comment makes no sense,1
I will find you,3
You deserve to suffer,3
This is pointless,1
You deserve punishment,3
I appreciate your feedback,0
This is pathetic nonsense,2
You are embarrassingly ignorant,2
You should be banned forever,3
This is a useful suggestion,0
You are a worthless human being,3
You are completely useless,2
You deserve to suffer,3
This is pathetic nonsense,2
That was extremely stupid,2
That was a silly mistake,1
I will hurt you,3
You are embarrassingly ignorant,2
You are not very smart,1
This is pointless,1
You are completely useless,2
I really like this idea,0
You sound confused,1
You are not very smart,1
Well written and informative,0
Please stop being rude,1
This is pointless,1
That was a silly mistake,1
You should be banned forever,3
This is a useful suggestion,0
I will ruin your life,3
You are being annoying,1
This is kind of stupid,1
I will find you,3
Nobody respects your opinion,2
This is a useful suggestion,0
You are not very smart,1
I will ruin your life,3
Well written and informative,0
I really like this idea,0
I really like this idea,0
I appreciate your feedback,0
This is pathetic nonsense,2
This is pointless,1
Nice work on this project,0
You are a total failure,2
You are not very smart,1
This information is helpful,0
You are a worthless human being,3
You are embarrassingly ignorant,2
Well written and informative,0
You sound confused,1
You should be banned forever,3
You should be banned forever,3
You deserve to suffer,3
This is kind of stupid,1
You are a worthless human being,3
That was unnecessary,1
You are completely useless,2
This is pathetic nonsense,2
This is pointless,1
You should be banned forever,3
I appreciate your feedback,0
You should be banned forever,3
That comment makes no sense,1
This information is helpful,0
You deserve to suffer,3
That sounds like a good plan,0
I will make you regret this,3
I will destroy everything you care about,3
Well written and informative,0
You are a worthless human being,3
That was extremely stupid,2
I appreciate your feedback,0
You deserve punishment,3
I enjoyed reading this,0
That comment makes no sense,1
This is absolute garbage,2
I appreciate your feedback,0
I really like this idea,0
You have no idea what you are doing,2
People like you should disappear,3
"Great explanation, very clear",0
Stop acting weird,1
You have no idea what you are doing,2
That sounds like a good plan,0
You are embarrassingly ignorant,2
This is pointless,1
Nobody respects your opinion,2
You are not very smart,1
That was incredibly dumb,2
Thank you for your help,0
You are a worthless human being,3
I enjoyed reading this,0
You are not very smart,1
I will find you,3
Nice work on this project,0
You deserve to suffer,3
That was unnecessary,1
Thank you for your help,0
You deserve to suffer,3
Thank you for your help,0
You have no idea what you are doing,2
That was incredibly dumb,2
You have no idea what you are doing,2
That was a silly mistake,1
Please stop being rude,1
This is pathetic nonsense,2
This is pointless,1
I appreciate your feedback,0
I will ruin your life,3
You sound confused,1
Nobody respects your opinion,2
You are embarrassingly ignorant,2
"Great explanation, very clear",0
I will make you regret this,3
That comment makes no sense,1
Well written and informative,0
Stop acting weird,1
I appreciate your feedback,0
This is kind of stupid,1
You are embarrassingly ignorant,2
People like you should disappear,3
I will find you,3
People like you should disappear,3
You are being annoying,1
This is pathetic nonsense,2
That comment makes no sense,1
You deserve punishment,3
That comment makes no sense,1
That sounds like a good plan,0
Nice work on this project,0
You are a worthless human being,3
You are not very smart,1
"Great explanation, very clear",0
You have no idea what you are doing,2
You are completely useless,2
Well written and informative,0
You have no idea what you are doing,2
This is kind of stupid,1
You are a worthless human being,3
That was incredibly dumb,2
I will make you regret this,3
You are a total failure,2
You sound confused,1
This is absolute garbage,2
Well written and informative,0
This is a useful suggestion,0
You should be banned forever,3
You are being annoying,1
This is pathetic nonsense,2
Please stop being rude,1
That was incredibly dumb,2
You are embarrassingly ignorant,2
I will ruin your life,3
Thank you for your help,0
That comment makes no sense,1
I really like this idea,0
You are a total failure,2
You are a total failure,2
I appreciate your feedback,0
You deserve to suffer,3
You have no idea what you are doing,2
That was a silly mistake,1
This is pathetic nonsense,2
I appreciate your feedback,0
I will make you regret this,3
You are completely useless,2
I will destroy everything you care about,3
Nice work on this project,0
That was extremely stupid,2
You deserve to suffer,3
You always ruin everything,2
Nice work on this project,0
You are embarrassingly ignorant,2
Well written and informative,0
You are being annoying,1
You deserve punishment,3
This is absolute garbage,2
I will make you regret this,3
That was unnecessary,1
That sounds like a good plan,0
I will make you regret this,3
"Great explanation, very clear",0
I will ruin your life,3
This is absolute garbage,2
That comment makes no sense,1
You are completely useless,2
That was extremely stupid,2
I enjoyed reading this,0
This is kind of stupid,1
That sounds like a good plan,0
"Great explanation, very clear",0
People like you should disappear,3
That was unnecessary,1
This is absolute garbage,2
I enjoyed reading this,0
This information is helpful,0
You are a worthless human being,3
This is kind of stupid,1
I will make you regret this,3
I will ruin your life,3
That was unnecessary,1
That was a silly mistake,1
You deserve punishment,3
This is a useful suggestion,0
I enjoyed reading this,0
That was incredibly dumb,2
That was extremely stupid,2
You are embarrassingly ignorant,2
This is pointless,1
This is a useful suggestion,0
I will hurt you,3
This is pointless,1
I enjoyed reading this,0
You are embarrassingly ignorant,2
You are being annoying,1
That comment makes no sense,1
I will make you regret this,3
You should be banned forever,3
This information is helpful,0
I will hurt you,3
I will make you regret this,3
You deserve to suffer,3
You are a total failure,2
I will destroy everything you care about,3
This is kind of stupid,1
I will find you,3
You are being annoying,1
That was a silly mistake,1
Nice work on this project,0
This is pointless,1
This is absolute garbage,2
That was unnecessary,1
I will destroy everything you care about,3
That was a silly mistake,1
That was extremely stupid,2
I will hurt you,3
This is absolute garbage,2
You should be banned forever,3
You deserve punishment,3
People like you should disappear,3
People like you should disappear,3
That sounds like a good plan,0
I will hurt you,3
You should be banned forever,3
This is pathetic nonsense,2
Stop acting weird,1
That was a silly mistake,1
You deserve punishment,3
Well written and informative,0
You should be banned forever,3
You are a worthless human being,3
You have no idea what you are doing,2
This is absolute garbage,2
This information is helpful,0
Nice work on this project,0
That comment makes no sense,1
This is pointless,1
I will ruin your life,3
You have no idea what you are doing,2
This is pointless,1
Please stop being rude,1
Nice work on this project,0
This information is helpful,0
I really like this idea,0
You sound confused,1
Well written and informative,0
Nice work on this project,0
I will hurt you,3
You sound confused,1
I will make you regret this,3
This is a useful suggestion,0
I really like this idea,0
This is pathetic nonsense,2
This is pointless,1
"Great explanation, very clear",0
That was incredibly dumb,2
That was unnecessary,1
This is kind of stupid,1
You are embarrassingly ignorant,2
I will ruin your life,3
Thank you for your help,0
I will destroy everything you care about,3
I will find you,3
I will ruin your life,3
"Great explanation, very clear",0
This information is helpful,0
Nobody respects your opinion,2
That was unnecessary,1
I will destroy everything you care about,3
I will hurt you,3
You should be banned forever,3
People like you should disappear,3
"Great explanation, very clear",0
That comment makes no sense,1
I will ruin your life,3
I will make you regret this,3
This is a useful suggestion,0
"Great explanation, very clear",0
That was incredibly dumb,2
You are being annoying,1
I appreciate your feedback,0
Nobody respects your opinion,2
I will ruin your life,3
Well written and informative,0
Nice work on this project,0
That was a silly mistake,1
This is a useful suggestion,0
You are completely useless,2
I will find you,3
You deserve to suffer,3
I will make you regret this,3
I really like this idea,0
This is absolute garbage,2
You have no idea what you are doing,2
This is pathetic nonsense,2
You are being annoying,1
I appreciate your feedback,0
This is a useful suggestion,0
You should be banned forever,3
You sound confused,1
You are completely useless,2
You are being annoying,1
You deserve to suffer,3
I enjoyed reading this,0
"Great explanation, very clear",0
That comment makes no sense,1
You are completely useless,2
Stop acting weird,1
I will hurt you,3
This is absolute garbage,2
Nice work on this project,0
Thank you for your help,0
That was a silly mistake,1
That was extremely stupid,2
You are being annoying,1
This information is helpful,0
I will ruin your life,3
That sounds like a good plan,0
You should be banned forever,3
"Great explanation, very clear",0
Nobody respects your opinion,2
This is kind of stupid,1
This is pointless,1
That was unnecessary,1
I appreciate your feedback,0
This is absolute garbage,2
Nice work on this project,0
I enjoyed reading this,0
You are a worthless human being,3
That was extremely stupid,2
I really like this idea,0
Please stop being rude,1
You are embarrassingly ignorant,2
Nice work on this project,0
Nice work on this project,0
That was incredibly dumb,2
Thank you for your help,0
Well written and informative,0
You are being annoying,1
You are a total failure,2
You are a total failure,2
You are being annoying,1
I will ruin your life,3
You are a total failure,2
That was extremely stupid,2
This is kind of stupid,1
You always ruin everything,2
You sound confused,1
You are being annoying,1
You always ruin everything,2
This is pointless,1
This is pathetic nonsense,2
I really like this idea,0
I appreciate your feedback,0
That was a silly mistake,1
You sound confused,1
Well written and informative,0
Nobody respects your opinion,2
You have no idea what you are doing,2
I really like this idea,0
I will destroy everything you care about,3
That was incredibly dumb,2
"Great explanation, very clear",0
You are a worthless human being,3
You are completely useless,2
This is a useful suggestion,0
Nobody respects your opinion,2
That was unnecessary,1
Please stop being rude,1
You have no idea what you are doing,2
You have no idea what you are doing,2
That comment makes no sense,1
Nobody respects your opinion,2
I really like this idea,0
This information is helpful,0
That was incredibly dumb,2
That was extremely stupid,2
You are completely useless,2
People like you should disappear,3
You have no idea what you are doing,2
I will ruin your life,3
You are a worthless human being,3
That was unnecessary,1
"Great explanation, very clear",0
Well written and informative,0
This is pathetic nonsense,2
I will destroy everything you care about,3
I will find you,3
"Great explanation, very clear",0
You always ruin everything,2
That was unnecessary,1
You should be banned forever,3
You always ruin everything,2
You are being annoying,1
You are a worthless human being,3
You are a worthless human being,3
Well written and informative,0
This is kind of stupid,1
I appreciate your feedback,0
This information is helpful,0
You are being annoying,1
You are a total failure,2
People like you should disappear,3
Stop acting weird,1
I will ruin your life,3
Well written and informative,0
That was unnecessary,1
That was a silly mistake,1
That was incredibly dumb,2
This information is helpful,0
Please stop being rude,1
Nobody respects your opinion,2
Well written and informative,0
You are embarrassingly ignorant,2
You should be banned forever,3
I will hurt you,3
This is pathetic nonsense,2
People like you should disappear,3
This is pathetic nonsense,2
You sound confused,1
You are a worthless human being,3
You have no idea what you are doing,2
That was a silly mistake,1
I really like this idea,0
Please stop being rude,1
You are not very smart,1
That was unnecessary,1
That was incredibly dumb,2
You are a total failure,2
This is absolute garbage,2
This is pointless,1
People like you should disappear,3
That was incredibly dumb,2
That was extremely stupid,2
"Great explanation, very clear",0
This is a useful suggestion,0
I really like this idea,0
Stop acting weird,1
Please stop being rude,1
You are completely useless,2
You are being annoying,1
Thank you for your help,0
That was incredibly dumb,2
You have no idea what you are doing,2
That was incredibly dumb,2
I will make you regret this,3
"Great explanation, very clear",0
This is a useful suggestion,0
Thank you for your help,0
That sounds like a good plan,0
Well written and informative,0
You are completely useless,2
"Great explanation, very clear",0
People like you should disappear,3
You are not very smart,1
You sound confused,1
This is kind of stupid,1
Well written and informative,0
I will destroy everything you care about,3
You are completely useless,2
You deserve punishment,3
You are not very smart,1
You should be banned forever,3
You deserve punishment,3
That was a silly mistake,1
Please stop being rude,1
I will make you regret this,3
You deserve punishment,3
That was a silly mistake,1
People like you should disappear,3
That was incredibly dumb,2
That was extremely stupid,2
You should be banned forever,3
"Great explanation, very clear",0
You always ruin everything,2
This is absolute garbage,2
I will destroy everything you care about,3
You are a worthless human being,3
That was a silly mistake,1
I will destroy everything you care about,3
That sounds like a good plan,0
Nobody respects your opinion,2
This is kind of stupid,1
That was incredibly dumb,2
That was a silly mistake,1
That was extremely stupid,2
I will destroy everything you care about,3
You always ruin everything,2
You sound confused,1
That comment makes no sense,1
That sounds like a good plan,0
"Great explanation, very clear",0
Please stop being rude,1
I enjoyed reading this,0
That was unnecessary,1
I will hurt you,3
You are a total failure,2
Nobody respects your opinion,2
Thank you for your help,0
This is a useful suggestion,0
You are being annoying,1
You are embarrassingly ignorant,2
This is kind of stupid,1
That comment makes no sense,1
I will make you regret this,3
Thank you for your help,0
Stop acting weird,1
Nice work on this project,0
That sounds like a good plan,0
You deserve punishment,3
You are embarrassingly ignorant,2
Nice work on this project,0
I really like this idea,0
I will hurt you,3
That was unnecessary,1
You are being annoying,1
I will ruin your life,3
You should be banned forever,3
You are not very smart,1
That was a silly mistake,1
You should be banned forever,3
This is pointless,1
People like you should disappear,3
That was extremely stupid,2
Thank you for your help,0
You are not very smart,1
You are a worthless human being,3
I appreciate your feedback,0
I will destroy everything you care about,3
This information is helpful,0
This information is helpful,0
That comment makes no sense,1
This is pathetic nonsense,2
You have no idea what you are doing,2
That comment makes no sense,1
You are embarrassingly ignorant,2
This is a useful suggestion,0
Nobody respects your opinion,2
You deserve to suffer,3
This is a useful suggestion,0
Well written and informative,0
Well written and informative,0
I will make you regret this,3
You are embarrassingly ignorant,2
Well written and informative,0
You are completely useless,2
You are a worthless human being,3
You always ruin everything,2
I appreciate your feedback,0
I will destroy everything you care about,3
I will hurt you,3
I will ruin your life,3
This is pathetic nonsense,2
Nice work on this project,0
Nice work on this project,0
That comment makes no sense,1
I enjoyed reading this,0
That was a silly mistake,1
That comment makes no sense,1
That comment makes no sense,1
You are a total failure,2
That was unnecessary,1
People like you should disappear,3
This is pointless,1
This is pathetic nonsense,2
I will find you,3
You are a total failure,2
I really like this idea,0
That was a silly mistake,1
You deserve to suffer,3
That was a silly mistake,1
You have no idea what you are doing,2
Please stop being rude,1
That was unnecessary,1
This is kind of stupid,1
This is absolute garbage,2
This is pointless,1
Nice work on this project,0
That was unnecessary,1
I will find you,3
This is kind of stupid,1
This is a useful suggestion,0
You are a total failure,2
This information is helpful,0
I really like this idea,0
That was unnecessary,1
This is a useful suggestion,0
People like you should disappear,3
I will destroy everything you care about,3
That was unnecessary,1
I will make you regret this,3
You are a total failure,2
I will destroy everything you care about,3
You are completely useless,2
Nobody respects your opinion,2
Well written and informative,0
Nobody respects your opinion,2
I will make you regret this,3
You are being annoying,1
I will ruin your life,3
I appreciate your feedback,0
I appreciate your feedback,0
That was a silly mistake,1
That comment makes no sense,1
I will make you regret this,3
You have no idea what you are doing,2
You are not very smart,1
You are not very smart,1
This is kind of stupid,1
I will make you regret this,3
That was unnecessary,1
Stop acting weird,1
This is pathetic nonsense,2
You are completely useless,2
This is pathetic nonsense,2
That was extremely stupid,2
I enjoyed reading this,0
That was incredibly dumb,2
You are embarrassingly ignorant,2
That was a silly mistake,1
That sounds like a good plan,0
I really like this idea,0
People like you should disappear,3
I appreciate your feedback,0
You should be banned forever,3
This is a useful suggestion,0
You should be banned forever,3
You are a total failure,2
I will make you regret this,3
You are a total failure,2
You should be banned forever,3
You are a total failure,2
You should be banned forever,3
I will ruin your life,3
I will ruin your life,3
Please stop being rude,1
This is absolute garbage,2
I will find you,3
That was extremely stupid,2
I will hurt you,3
I enjoyed reading this,0
You are a worthless human being,3
This is kind of stupid,1
"Great explanation, very clear",0
That was incredibly dumb,2
You are a total failure,2
You are being annoying,1
I will make you regret this,3
You always ruin everything,2
You always ruin everything,2
"Great explanation, very clear",0
You are a worthless human being,3
You are a total failure,2
Nobody respects your opinion,2
You are a total failure,2
I enjoyed reading this,0
You have no idea what you are doing,2
That was extremely stupid,2
That comment makes no sense,1
You sound confused,1
This is absolute garbage,2
That was a silly mistake,1
That was incredibly dumb,2
This is kind of stupid,1
That was extremely stupid,2
Thank you for your help,0
"Great explanation, very clear",0
You are being annoying,1
I enjoyed reading this,0
That comment makes no sense,1
I enjoyed reading this,0
I appreciate your feedback,0
You deserve to suffer,3
You are completely useless,2
Well written and informative,0
This is absolute garbage,2
That comment makes no sense,1
I really like this idea,0
I will destroy everything you care about,3
You always ruin everything,2
I will hurt you,3
You always ruin everything,2
I will find you,3
That was a silly mistake,1
You are not very smart,1
That was a silly mistake,1
I will hurt you,3
People like you should disappear,3
"Great explanation, very clear",0
I enjoyed reading this,0
I will find you,3
That comment makes no sense,1
You should be banned forever,3
That was unnecessary,1
You have no idea what you are doing,2
I will ruin your life,3
That was extremely stupid,2
This is a useful suggestion,0
You are being annoying,1
This is absolute garbage,2
I will find you,3
You deserve to suffer,3
Stop acting weird,1
I really like this idea,0
This is pointless,1
You have no idea what you are doing,2
"Great explanation, very clear",0
You are being annoying,1
That comment makes no sense,1
Thank you for your help,0
You should be banned forever,3
Well written and informative,0
You are a total failure,2
That was a silly mistake,1
That was incredibly dumb,2
I will ruin your life,3
Stop acting weird,1
That was extremely stupid,2
That was extremely stupid,2
That comment makes no sense,1
People like you should disappear,3
You sound confused,1
This is pointless,1
That sounds like a good plan,0
Well written and informative,0
You always ruin everything,2
That was a silly mistake,1
This is pathetic nonsense,2
This information is helpful,0
Nobody respects your opinion,2
You should be banned forever,3
That comment makes no sense,1
This is pathetic nonsense,2
That was unnecessary,1
Stop acting weird,1
"Great explanation, very clear",0
Thank you for your help,0
People like you should disappear,3
That was unnecessary,1
Nice work on this project,0
Please stop being rude,1
I will ruin your life,3
People like you should disappear,3
You deserve punishment,3
You deserve punishment,3
Thank you for your help,0
You are completely useless,2
I really like this idea,0
You are being annoying,1
That was a silly mistake,1
You are being annoying,1
You are a total failure,2
I enjoyed reading this,0
This information is helpful,0
This is absolute garbage,2
That was unnecessary,1
I will hurt you,3
This is pathetic nonsense,2
I appreciate your feedback,0
You are a total failure,2
That was unnecessary,1
You are being annoying,1
You deserve to suffer,3
That comment makes no sense,1
Nice work on this project,0
That sounds like a good plan,0
This information is helpful,0
That comment makes no sense,1
I really like this idea,0
This is kind of stupid,1
You are embarrassingly ignorant,2
Nice work on this project,0
This information is helpful,0
Well written and informative,0
Nice work on this project,0
I really like this idea,0
I enjoyed reading this,0
You are being annoying,1
I will hurt you,3
This is kind of stupid,1
Nice work on this project,0
That was unnecessary,1
Nobody respects your opinion,2
You deserve to suffer,3
This is pointless,1
That was incredibly dumb,2
You deserve punishment,3
You are completely useless,2
Stop acting weird,1
You are a total failure,2
That was unnecessary,1
You are embarrassingly ignorant,2
This information is helpful,0
I appreciate your feedback,0
This is a useful suggestion,0
You sound confused,1
This is pointless,1
Nobody respects your opinion,2
This is pathetic nonsense,2
I will hurt you,3
That was a silly mistake,1
That was a silly mistake,1
You deserve punishment,3
Please stop being rude,1
I enjoyed reading this,0
I will destroy everything you care about,3
I really like this idea,0
This information is helpful,0
Nobody respects your opinion,2
You are completely useless,2
This is pathetic nonsense,2
You are a worthless human being,3
You deserve to suffer,3
This is absolute garbage,2
I will ruin your life,3
That was extremely stupid,2
That comment makes no sense,1
"Great explanation, very clear",0
You are being annoying,1
Stop acting weird,1
This is kind of stupid,1
I will destroy everything you care about,3
You sound confused,1
You sound confused,1
You are a worthless human being,3
"Great explanation, very clear",0
You are completely useless,2
This is kind of stupid,1
Thank you for your help,0
This is absolute garbage,2
I appreciate your feedback,0
That comment makes no sense,1
You are being annoying,1
You are embarrassingly ignorant,2
You should be banned forever,3
You have no idea what you are doing,2
Thank you for your help,0
Nobody respects your opinion,2
I enjoyed reading this,0
I will make you regret this,3
